PDF downloaded successfully and saved to /tmp/daily_incident_summary.pdf
Extracting incidents from the PDF...
Extracted 290 incidents from the PDF.
Creating SQLite database...
Existing database deleted: resources/normanpd.db
Database created at resources/normanpd.db
Inserted 290 incidents into the database.
Top 400 rows from the incidents database:
Date / Time          Incident Number      Location                       Nature                         Incident ORI
8/4/2024 8:39        2024-00015606        1412 24TH AVE SE               Assist Fire                    EMSSTAT   
8/4/2024 8:46        2024-00056244        201 REED AVE                   Suspicious                     OK0140200 
8/4/2024 8:53        2024-00011583        1111 24TH AVE SW               Public Assist                  14005     
8/4/2024 9:05        2024-00056247        1327 E LINDSEY ST              Check Area                     OK0140200 
8/4/2024 9:08        2024-00056245        563 BUCHANAN AVE               Suspicious                     OK0140200 
8/4/2024 9:09        2024-00056246        N CARTER AVE / E HUGHBERT ST   Animal Injured                 OK0140200 
8/4/2024 9:20        2024-00056249        1894 12TH AVE SE Harassment /  Threats Report                 OK0140200 
8/4/2024 9:42        2024-00056248        455 W GRAY ST                  Trespassing                    OK0140200 
8/4/2024 9:46        2024-00056250        3441 24TH AVE NW               Alarm                          OK0140200 
8/4/2024 9:48        2024-00056253        1125 BARBARY DR                Barking Dog                    OK0140200 
8/4/2024 10:10       2024-00056251        2920 CHAUTAUQUA AVE 911        Call Nature Unknown            OK0140200 
8/4/2024 10:27       2024-00056252        616 BLUE FISH RD               Alarm                          OK0140200 
8/4/2024 10:41       2024-00011584        201 REED AVE                   Sick Person                    14005     
8/4/2024 10:41       2024-00015607        201 REED AVE                   Sick Person                    EMSSTAT   
8/4/2024 10:44       2024-00056254        351 E ROBINSON ST              Fraud                          OK0140200 
8/4/2024 10:49       2024-00056255        3640 W TECUMSEH RD Harassment / Threats Report                 OK0140200 
8/4/2024 10:50       2024-00011585        1513 WAR BIRD DR               Sick Person                    14005     
8/4/2024 10:50       2024-00015608        1513 WAR BIRD DR               Sick Person                    EMSSTAT   
8/4/2024 10:54       2024-00056256        1366 12TH AVE NE               Check Area                     OK0140200 
8/4/2024 10:56       2024-00056257        1900 RENAISSANCE DR            Disturbance/Domestic           OK0140200 
8/4/2024 10:57       2024-00056258        825 E ROBINSON ST              Alarm                          OK0140200 
8/4/2024 11:13       2024-00056259        1475 BEAUMONT ST               Traffic Stop                   OK0140200 
8/4/2024 11:22       2024-00056260        1415 W MAIN ST MVA             With Injuries                  OK0140200 
8/4/2024 11:22       2024-00011586        1415 W MAIN ST MVA             With Injuries                  14005     
8/4/2024 11:22       2024-00015609        1415 W MAIN ST MVA             With Injuries                  EMSSTAT   
8/4/2024 11:29       2024-00056262        104 S PORTER AVE MVA           Non Injury                     OK0140200 
8/4/2024 11:29       2024-00056261        1465 BEAUMONT ST               Traffic Stop                   OK0140200 
8/4/2024 11:35       2024-00011587        201 REED AVE                   Convulsion/Seizure             14005     
8/4/2024 11:35       2024-00015610        201 REED AVE                   Convulsion/Seizure             EMSSTAT   
8/4/2024 11:39       2024-00056263        408 DAYFLOWER LN               Follow Up                      OK0140200 
8/4/2024 11:49       2024-00011588        401 12TH AVE SE                Convulsion/Seizure             14005     
8/4/2024 11:49       2024-00015611        401 12TH AVE SE                Convulsion/Seizure             EMSSTAT   
8/4/2024 11:52       2024-00011589        201 REED AVE                   Fire Grass                     14005     
8/4/2024 11:56       2024-00011590        1111 24TH AVE SW               Headache                       14005     
8/4/2024 11:56       2024-00015612        1111 24TH AVE SW               Headache                       EMSSTAT   
8/4/2024 11:57       2024-00056267        850 ED NOBLE PKWY              Found Item                     OK0140200 
8/4/2024 11:58       2024-00015613        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 11:59       2024-00056264        206 N PORTER AVE               Traffic Stop                   OK0140200 
8/4/2024 12:02       2024-00056265        113 N CRAWFORD AVE             Traffic Stop                   OK0140200 
8/4/2024 12:07       2024-00056266        550 24TH AVE SW                Alarm                          OK0140200 
8/4/2024 12:15       2024-00011591        11301 E LINDSEY ST             Fire Grass                     14005     
8/4/2024 12:25       2024-00056268        116 N CARTER AVE               Disturbance/Domestic           OK0140200 
8/4/2024 12:25       2024-00011592        116 N CARTER AVE               Hemorrhage/Lacerations         14005     
8/4/2024 12:25       2024-00015614        116 N CARTER AVE               Hemorrhage/Lacerations         EMSSTAT   
8/4/2024 12:31       2024-00056271        401 12TH AVE SE Harassment /   Threats Report                 OK0140200 
8/4/2024 12:41       2024-00056269        850 ED NOBLE PKWY              Larceny                        OK0140200 
8/4/2024 12:45       2024-00056270        103 MERKLE DR                  Found Item                     OK0140200 
8/4/2024 12:49       2024-00056272        1201 VINE ST 911               Call Nature Unknown            OK0140200 
8/4/2024 12:53       2024-00056274        125 W ACRES ST                 Disturbance/Domestic           OK0140200 
8/4/2024 12:58       2024-00056273        127 N FINDLAY AVE              Traffic Stop                   OK0140200 
8/4/2024 13:03       2024-00056276        E IMHOFF RD / 144TH AVE SE     Suspicious                     OK0140200 
8/4/2024 13:05       2024-00056275        1222 CAMDEN WAY                Disturbance/Domestic           OK0140200 
8/4/2024 13:05       2024-00011593        422 N SHERRY AVE               Medical Call Pd Requested      14005     
8/4/2024 13:05       2024-00015615        422 N SHERRY AVE               Medical Call Pd Requested      EMSSTAT   
8/4/2024 13:21       2024-00056277        E IMHOFF RD / CLASSEN BLVD MVA Non Injury                     OK0140200 
8/4/2024 13:27       2024-00056278        2509 WOODSONG DR               Contact a Subject              OK0140200 
8/4/2024 13:31       2024-00056279        12TH AVE SE / E CEDAR LANE RD MVA With Injuries                  OK0140200 
8/4/2024 13:31       2024-00011594        12TH AVE SE / E CEDAR LANE RD MVA With Injuries                  14005     
8/4/2024 13:31       2024-00015616        12TH AVE SE / E CEDAR LANE RD MVA With Injuries                  EMSSTAT   
8/4/2024 13:37       2024-00056280        109 S BERRY RD                 Found Item                     OK0140200 
8/4/2024 13:40       2024-00011595        2550 W FRANKLIN RD             Convulsion/Seizure             14005     
8/4/2024 13:40       2024-00015617        2550 W FRANKLIN RD             Convulsion/Seizure             EMSSTAT   
8/4/2024 13:44       2024-00056281        JENKINS AVE / E TIMBERDELL RD  Traffic Stop                   OK0140200 
8/4/2024 13:50       2024-00056283        303 E ACRES ST                 Found Item                     OK0140200 
8/4/2024 13:51       2024-00056282        3100 ROCK CREEK TRL            Disturbance/Domestic           OK0140200 
8/4/2024 13:55       2024-00056284        3300 HEALTHPLEX PKWY           Contact a Subject              OK0140200 
8/4/2024 13:58       2024-00056288        JENKINS AVE / E TIMBERDELL RD  Traffic Stop                   OK0140200 
8/4/2024 13:58       2024-00056285        1900 RENAISSANCE DR            Noise Complaint                OK0140200 
8/4/2024 14:00       2024-00056286        201 REED AVE                   Disturbance/Domestic           OK0140200 
8/4/2024 14:04       2024-00056287        2424 W MAIN ST Alarm           Holdup/Panic                   OK0140200 
8/4/2024 14:09       2024-00015618        700 S TELEPHONE RD             Transfer/Interfacility         EMSSTAT   
8/4/2024 14:10       2024-00056289        802 WOODS AVE                  Follow Up                      OK0140200 
8/4/2024 14:13       2024-00056291        2070 24TH AVE NW               Runaway or Lost Child          OK0140200 
8/4/2024 14:16       2024-00056290        2430 W MAIN ST                 Contact a Subject              OK0140200 
8/4/2024 14:31       2024-00056292        201 WOODCREST DR Harassment /  Threats Report                 OK0140200 
8/4/2024 14:35       2024-00056293        1820 W MAIN ST                 Contact a Subject              OK0140200 
8/4/2024 14:35       2024-00056294        1300 CROWN POINT AVE           Contact a Subject              OK0140200 
8/4/2024 14:48       2024-00056295        284 12TH AVE SE                Traffic Stop                   OK0140200 
8/4/2024 14:49       2024-00056298        E CEDAR LANE RD / 12TH AVE SE  Check Area                     OK0140200 
8/4/2024 14:51       2024-00011596        823 N FINDLAY AVE              Breathing Problems             14005     
8/4/2024 14:51       2024-00015619        823 N FINDLAY AVE              Breathing Problems             EMSSTAT   
8/4/2024 14:55       2024-00056297        2440 W MAIN ST                 Contact a Subject              OK0140200 
8/4/2024 14:59       2024-00056296        201 W GRAY ST                  Pick Up Partner                OK0140200 
8/4/2024 15:03       2024-00056299        1424 KINGSTON RD               Check Area                     OK0140200 
8/4/2024 15:06       2024-00056300        1333 E LINDSEY ST              Traffic Stop                   OK0140200 
8/4/2024 15:13       2024-00056303        201 MILLBURY CT                Disturbance/Domestic           OK0140200 
8/4/2024 15:14       2024-00056301        E STATE HWY 9 HWY / 60TH AVE SE Traffic Stop                   OK0140200 
8/4/2024 15:14       2024-00056302        5400 60TH AVE NW               Traffic Stop                   OK0140200 
8/4/2024 15:22       2024-00056305        3301 W MAIN ST                 Stolen Vehicle                 OK0140200 
8/4/2024 15:23       2024-00056304        4628 60TH AVE NW               Traffic Stop                   OK0140200 
8/4/2024 15:26       2024-00011597        2630 12TH AVE NW               Convulsion/Seizure             14005     
8/4/2024 15:26       2024-00015620        2630 12TH AVE NW               Convulsion/Seizure             EMSSTAT   
8/4/2024 15:27       2024-00056306        1418 GEORGE AVE Open           Door/Premises Check            OK0140200 
8/4/2024 15:39       2024-00056311        201 W GRAY ST                  Contact a Subject              OK0140200 
8/4/2024 15:41       2024-00056307        6500 E STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 15:42       2024-00011598        101 ED NOBLE PKWY              Sick Person                    14005     
8/4/2024 15:42       2024-00015621        101 ED NOBLE PKWY              Sick Person                    EMSSTAT   
8/4/2024 15:51       2024-00056308        301 HAL MULDROW DR             Disturbance/Domestic           OK0140200 
8/4/2024 15:54       2024-00056309        1924 ALAMEDA ST                Traffic Stop                   OK0140200 
8/4/2024 15:56       2024-00056310        6306 E STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 15:58       2024-00056312        3001 PHEASANT RUN RD Harassment / Threats Report                 OK0140200 
8/4/2024 16:05       2024-00056316        3751 EAGLE CLIFF DR            Alarm                          OK0140200 
8/4/2024 16:07       2024-00011599        301 HAL MULDROW DR             Stroke                         14005     
8/4/2024 16:07       2024-00015622        301 HAL MULDROW DR             Stroke                         EMSSTAT   
8/4/2024 16:07       2024-00056314        301 HAL MULDROW DR             Welfare Check                  OK0140200 
8/4/2024 16:08       2024-00056313        5809 E STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 16:15       2024-00056321        333 INTERSTATE DR              Found Item                     OK0140200 
8/4/2024 16:16       2024-00056315        2800 OAK TREE AVE              Check Area                     OK0140200 
8/4/2024 16:18       2024-00056317        35.2003883333333;-97.4375483333333 Traffic Stop                   OK0140200 
8/4/2024 16:19       2024-00056319        617 INTERSTATE DR              Alarm                          OK0140200 
8/4/2024 16:20       2024-00056318        2236 36TH AVE NE               Traffic Stop                   OK0140200 
8/4/2024 16:27       2024-00056324        800 LEXINGTON ST               Vandalism                      OK0140200 
8/4/2024 16:37       2024-00056320        N PORTER AVE / WOODCREST DR    Disturbance/Domestic           OK0140200 
8/4/2024 16:44       2024-00011600        2320 MEMPHIS DR                Unconscious/Fainting           14005     
8/4/2024 16:44       2024-00015623        2320 MEMPHIS DR                Diabetic Problems              EMSSTAT   
8/4/2024 16:53       2024-00056322        2445 12TH AVE NE               Traffic Stop                   OK0140200 
8/4/2024 16:55       2024-00056323        601 12TH AVE NE                Larceny                        OK0140200 
8/4/2024 17:08       2024-00056325        5078 60TH AVE NW               Traffic Stop                   OK0140200 
8/4/2024 17:11       2024-00011601        2839 CHELSEA DR                Sick Person                    14005     
8/4/2024 17:11       2024-00015624        2839 CHELSEA DR                Sick Person                    EMSSTAT   
8/4/2024 17:12       2024-00056326        3651 CLASSEN BLVD              Larceny                        OK0140200 
8/4/2024 17:16       2024-00056327        2010 24TH AVE NW               Larceny                        OK0140200 
8/4/2024 17:21       2024-00056328        1400 W STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 17:24       2024-00015625        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 17:27       2024-00056344        2308 24TH AVE NW               Hit and Run                    OK0140200 
8/4/2024 17:30       2024-00056329        1310 W STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 17:33       2024-00056330        108TH AVE SE / E STATE HWY 9 HWY Drunk Driver                   OK0140200 
8/4/2024 17:37       2024-00056334        3015 STEPHAN RD                Shots Heard                    OK0140200 
8/4/2024 17:37       2024-00056331        W HAYES ST / FAY AVE           Traffic Stop                   OK0140200 
8/4/2024 17:42       2024-00056333        540 W MAIN ST MVA              Non Injury                     OK0140200 
8/4/2024 17:43       2024-00056332        1312 W STATE HWY 9 HWY         Traffic Stop                   OK0140200 
8/4/2024 17:50       2024-00056335        N FLOOD AVE / W ROBINSON ST    Debris in Roadway              OK0140200 
8/4/2024 18:02       2024-00056337        1123 BALD EAGLE DR             Animal Complaint               OK0140200 
8/4/2024 18:02       2024-00056338        707 24TH AVE SW                Alarm                          OK0140200 
8/4/2024 18:06       2024-00056336        559 W MAIN ST                  Contact a Subject              OK0140200 
8/4/2024 18:09       2024-00056339        2900 OAK TREE AVE              Suspicious                     OK0140200 
8/4/2024 18:11       2024-00011602        436 PARK DR                    Chest Pain                     14005     
8/4/2024 18:11       2024-00015626        436 PARK DR                    Chest Pain                     EMSSTAT   
8/4/2024 18:13       2024-00056345        2310 ALAMEDA PLAZA             Suspicious                     OK0140200 
8/4/2024 18:19       2024-00056343        513 24TH AVE NW                Larceny                        OK0140200 
8/4/2024 18:20       2024-00056340        12TH AVE SE / TRIAD VILLAGE DR Contact a Subject              OK0140200 
8/4/2024 18:20       2024-00011604        12TH AVE SE / TRIAD VILLAGE DR Sick Person                    14005     
8/4/2024 18:20       2024-00015628        12TH AVE SE / TRIAD VILLAGE DR Sick Person                    EMSSTAT   
8/4/2024 18:21       2024-00056341        400 E ROBINSON ST              Contact a Subject              OK0140200 
8/4/2024 18:36       2024-00011603        1135 BILOXI DR                 Sick Person                    14005     
8/4/2024 18:36       2024-00015627        1135 BILOXI DR                 Sick Person                    EMSSTAT   
8/4/2024 18:49       2024-00056346        S BRYANT AVE / W INDIAN HILLS RD Disturbance/Domestic           OK0140200 
8/4/2024 18:50       2024-00056347        N PORTER AVE / E ROBINSON ST   Welfare Check                  OK0140200 
8/4/2024 18:50       2024-00011605        N PORTER AVE / E ROBINSON ST   Hemorrhage/Lacerations         14005     
8/4/2024 18:50       2024-00015629        N PORTER AVE / E ROBINSON ST   Hemorrhage/Lacerations         EMSSTAT   
8/4/2024 18:57       2024-00056349        3001 PHEASANT RUN RD           Contact a Subject              OK0140200 
8/4/2024 19:05       2024-00056348        WAR BIRD DR / SHRILL ST        Contact a Subject              OK0140200 
8/4/2024 19:13       2024-00056350        2681 JEFFERSON ST              Welfare Check                  OK0140200 
8/4/2024 19:17       2024-00011606        2550 W FRANKLIN RD             Diabetic Problems              14005     
8/4/2024 19:17       2024-00015630        2550 W FRANKLIN RD             Diabetic Problems              EMSSTAT   
8/4/2024 19:17       2024-00056353        2550 W FRANKLIN RD             Escort/Transport               OK0140200 
8/4/2024 19:25       2024-00056378        513 MIDLAND DR                 Contact a Subject              OK0140200 
8/4/2024 19:25       2024-00056351        N PORTER AVE / E MOSIER ST     Contact a Subject              OK0140200 
8/4/2024 19:26       2024-00011607        3000 80TH AVE NE               Falls                          14005     
8/4/2024 19:26       2024-00015631        3000 80TH AVE NE               Falls                          EMSSTAT   
8/4/2024 19:30       2024-00056354        1005 FOUNTAIN GATE CIR         Disturbance/Domestic           OK0140200 
8/4/2024 19:30       2024-00011608        1005 FOUNTAIN GATE CIR         Assault EMS Needed             14005     
8/4/2024 19:30       2024-00015632        1005 FOUNTAIN GATE CIR         Assault EMS Needed             EMSSTAT   
8/4/2024 19:30       2024-00056352        E STATE HWY 9 HWY / 24TH AVE SE MVA Non Injury                     OK0140200 
8/4/2024 19:40       2024-00056355        12TH AVE SE / E LINDSEY ST     Contact a Subject              OK0140200 
8/4/2024 19:40       2024-00056389        2200 CLASSEN BLVD              Supplement Report              OK0140200 
8/4/2024 19:47       2024-00015633        700 S TELEPHONE RD             Transfer/Interfacility         EMSSTAT   
8/4/2024 19:54       2024-00056357        2317 GLEN OAKS DR              Larceny                        OK0140200 
8/4/2024 19:54       2024-00056356        1182 E CONSTITUTION ST         Traffic Stop                   OK0140200 
8/4/2024 20:03       2024-00056376        2317 GLEN OAKS DR              Welfare Check                  OK0140200 
8/4/2024 20:04       2024-00056358        899 24TH AVE SE                Traffic Stop                   OK0140200 
8/4/2024 20:08       2024-00011609        1050 RAMBLING OAKS DR          Sick Person                    14005     
8/4/2024 20:08       2024-00015634        1050 RAMBLING OAKS DR          Sick Person                    EMSSTAT   
8/4/2024 20:08       2024-00056361        3201 MARKET PL                 Stolen Vehicle                 OK0140200 
8/4/2024 20:11       2024-00056359        35.2119466666667;-97.476965    Traffic Stop                   OK0140200 
8/4/2024 20:16       2024-00056360        269 BEAL ST                    Contact a Subject              OK0140200 
8/4/2024 20:24       2024-00056362        900 N PORTER AVE               Welfare Check                  OK0140200 
8/4/2024 20:27       2024-00056363        1501 W BOYD ST                 Trespassing                    OK0140200 
8/4/2024 20:29       2024-00011610        2550 MOUNT WILLIAMS DR         Chest Pain                     14005     
8/4/2024 20:29       2024-00015635        2550 MOUNT WILLIAMS DR         Chest Pain                     EMSSTAT   
8/4/2024 20:37       2024-00056364        E ACRES ST / N PORTER AVE      Contact a Subject              OK0140200 
8/4/2024 20:39       2024-00015638        3300 HEALTHPLEX PKWY           Transfer/Interfacility         EMSSTAT   
8/4/2024 20:39       2024-00011611        524 1/2 S UNIVERSITY BLVD      Diabetic Problems              14005     
8/4/2024 20:39       2024-00015636        524 1/2 S UNIVERSITY BLVD      Diabetic Problems              EMSSTAT   
8/4/2024 20:43       2024-00011612        14750 E IMHOFF RD              Falls                          14005     
8/4/2024 20:43       2024-00015637        14750 E IMHOFF RD              Falls                          EMSSTAT   
8/4/2024 20:50       2024-00056367        1841 CHERRY STONE ST           Barking Dog                    OK0140200 
8/4/2024 20:51       2024-00056365        2556 CLASSEN BLVD              Disturbance/Domestic           OK0140200 
8/4/2024 21:00       2024-00011613        3001 OAK TREE AVE              Public Assist                  14005     
8/4/2024 21:10       2024-00056366        STEPHANIE LN / LORENE LN       Suspicious                     OK0140200 
8/4/2024 21:19       2024-00015639        700 S TELEPHONE RD             Transfer/Interfacility         EMSSTAT   
8/4/2024 21:19       2024-00056368        3001 OAK TREE AVE              Follow Up                      OK0140200 
8/4/2024 21:26       2024-00056369        701 E APACHE ST                Animal Vicious                 OK0140200 
8/4/2024 21:30       2024-00056370        200 S JONES AVE                Trespassing                    OK0140200 
8/4/2024 21:31       2024-00056371        1201 12TH AVE NE               Welfare Check                  OK0140200 
8/4/2024 21:38       2024-00056372        318 E HAYES ST                 Disturbance/Domestic           OK0140200 
8/4/2024 21:39       2024-00056373        1333 W LINDSEY ST              Disturbance/Domestic           OK0140200 
8/4/2024 21:42       2024-00056384        1804 HILLCREST DR              Follow Up                      OK0140200 
8/4/2024 21:44       2024-00015640        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 21:47       2024-00056374        1020 N PORTER AVE              Contact a Subject              OK0140200 
8/4/2024 21:53       2024-00056375        1310 N PORTER AVE              Traffic Stop                   OK0140200 
8/4/2024 21:53       2024-00056383        2440 W MAIN ST                 Supplement Report              OK0140200 
8/4/2024 21:59       2024-00056377        511 36TH AVE SW                Traffic Stop                   OK0140200 
8/4/2024 22:01       2024-00015642        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 22:01       2024-00011614        1210 W BROOKS ST               Falls                          14005     
8/4/2024 22:01       2024-00015641        1210 W BROOKS ST               Falls                          EMSSTAT   
8/4/2024 22:01       2024-00056386        1210 W BROOKS ST               Body Reported                  OK0140200 
8/4/2024 22:06       2024-00056381        3441 24TH AVE NW               Alarm                          OK0140200 
8/4/2024 22:07       2024-00015644        2000 ANN BRANDEN BLVD          Transfer/Interfacility         EMSSTAT   
8/4/2024 22:19       2024-00056379        N CARTER AVE / E ACRES ST      Contact a Subject              OK0140200 
8/4/2024 22:19       2024-00011615        N CARTER AVE / E ACRES ST      Convulsion/Seizure             14005     
8/4/2024 22:19       2024-00015643        N CARTER AVE / E ACRES ST      Convulsion/Seizure             EMSSTAT   
8/4/2024 22:20       2024-00056380        1826 W ROBINSON ST             Contact a Subject              OK0140200 
8/4/2024 22:21       2024-00056382        2513 LEEDS LN                  Disturbance/Domestic           OK0140200 
8/4/2024 22:35       2024-00056387        2601 BUTLER DR                 Prowler                        OK0140200 
8/4/2024 22:36       2024-00056385        2600 W MAIN ST                 Larceny                        OK0140200 
8/4/2024 22:58       2024-00056388        N CARTER AVE / E MOSIER ST     Contact a Subject              OK0140200 
8/4/2024 23:05       2024-00056394        301 HAL MULDROW DR             Stolen Vehicle                 OK0140200 
8/4/2024 23:10       2024-00056390        OLIVER ST / N CARTER AVE       Contact a Subject              OK0140200 
8/4/2024 23:10       2024-00056391        1252 36TH AVE NW               Traffic Stop                   OK0140200 
8/4/2024 23:20       2024-00056400        812 ANNIE CT                   Check Area                     OK0140200 
8/4/2024 23:25       2024-00056392        E MAIN ST / 12TH AVE NE        Traffic Stop                   OK0140200 
8/4/2024 23:26       2024-00056393        351 E ROBINSON ST              Trespassing                    OK0140200 
8/4/2024 23:26       2024-00011616        351 E ROBINSON ST Heart        Problems/AICD                  14005     
8/4/2024 23:26       2024-00015645        351 E ROBINSON ST Heart        Problems/AICD                  EMSSTAT   
